id_curso,id_unidade,codigo,nome,nivel,id_modalidade_educacao,id_municipio,id_tipo_oferta_curso,id_area_curso,id_grau_academico,id_eixo_conhecimento,ativo
3873992,275,,"TECNOLOGIA EM ALIMENTOS",G,1,9244,3,90000005,4,,1
5321,189,ALTPAGRO,"TÉCNICO EM AGROINDÚSTRIA - PROEJA - AL",M,1,8550,,,,,1
34,229,SBTSNUTREAD,"TÉCNICO EM NUTRIÇAO - SB",T,2,9273,,,,,1
33,229,SBTSINFO,"TÉCNICO EM INFORMÁTICA - SB",T,1,9273,,,,,1
44,150,SVTSAGRI,"TÉCNICO EM AGRICULTURA - SV",T,1,,,,,,
511414,388,JATISER,"CURSO TÉCNICO EM SISTEMAS DE ENERGIA RENOVÁVEL INTEGRADO AO ENSINO MÉDIO",M,1,8960,,,,,1
74514,434,,"CURSO SUPERIOR DE TECNOLOGIA EM PRODUÇÃO DE GRAOS",G,1,8971,3,50000004,4,,1
38,269,SRTSEDIF,"TÉCNICO EM EDIFICAÇÕES - SR",T,1,9244,,30000009,,6264210,1
35662,692,"FWTIAGRO - 11002","TÉCNICO EM AGROPECUÁRIA - FW",M,1,8883,,,,6264215,1
230,349,PBTSSECR,"TÉCNICO EM SECRETARIADO - PB",T,1,,,,,,
2399361,349,PBTIAUTO,"TÉCNICO EM AUTOMAÇÃO INDUSTRIAL-PB",N,1,9091,,90000005,,171156,1
469238,349,PBTIAUTO,"TÉCNICO EM AUTOMAÇÃO INDUSTRIAL-PB",M,1,9091,,,,171156,1
3490914,692,"FWTIADMI - 11009","TÉCNICO EM ADMINISTRAÇÃO - FW",N,1,8883,,60000007,,,1
3927664,474,,"SUPERIOR DE LICENCIATURA EM MATEMÁTICA",G,1,8883,3,10000003,8067070,,1
3996007,229,SBTSLOG,"TÉCNICO EM LOGÍSTICA - SB",T,1,9273,,60000007,,171158,1
62467,274,,"LICENCIATURA EM MATEMÁTICA",G,1,9244,3,10000003,8067070,,1
809178,349,PBTSESTE,"TÉCNICO EM ESTÉTICA SUBSEQUENTE",T,1,9091,,,,171155,1
759711,696,UGTCADM,"TÉCNICO EM ADMINISTRAÇÃO",T,1,9431,,,,171158,1
41,150,SVTSALIM,"TÉCNICO EM ALIMENTOS - SV",T,1,,,,,,
759712,696,UGTCINFONET,"TÉCNICO EM INFORMÁTICA PARA INTERNET",T,1,9431,,,,-1,1
831568,349,PBTSAGROEAD,"TÉCNICO EM AGRONEGÓCIO -EAD PB",T,2,9091,,,,6264215,1
48,150,SVTSINFO,"TÉCNICO EM INFORMÁTICA - SV",T,1,,,,,,
2266520,189,ALTSAGROEAD,"TÉCNICO EM AGROINDÚSTRIA EAD",T,2,8550,,90000005,,6264212,1
34236,692,"FWTSAGRO - 11003","TÉCNICO EM AGROPECUÁRIA - FW",T,1,8883,,50000004,,,1
3208,150,SVTIADMI,"TÉCNICO EM ADMINISTRAÇÃO INTEGRADO",M,1,9332,,,,171158,1
1500114,164,,"ESPECIALIZAÇÃO EM MANEJO DE CULTURAS DE GRÃOS",L,1,,,50100009,,,1
