regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Brasil;;;76;;;;2021-07-01;26;210147125;18622304;65163;520095;2029;16931272;1170937;
Brasil;;;76;;;;2021-07-02;26;210147125;18687469;65165;521952;1857;16989351;1176166;
Brasil;;;76;;;;2021-07-03;26;210147125;18742025;54556;523587;1635;17033808;1184630;
Brasil;;;76;;;;2021-07-04;27;210147125;18769808;27783;524417;830;17082876;1162515;
Brasil;;;76;;;;2021-07-05;27;210147125;18792511;22703;525112;695;17151673;1115726;
Brasil;;;76;;;;2021-07-06;27;210147125;18855015;62504;526892;1780;17262646;1065477;
Norte;RO;;11;;;;2021-07-01;26;1777225;248173;566;6149;13;;;
Norte;RO;;11;;;;2021-07-02;26;1777225;248485;312;6170;21;;;
Norte;RO;;11;;;;2021-07-03;26;1777225;249496;1011;6172;2;;;
Norte;RO;;11;;;;2021-07-04;27;1777225;249547;51;6173;1;;;
Norte;RO;;11;;;;2021-07-05;27;1777225;252024;2477;6213;40;;;
Norte;RO;;11;;;;2021-07-06;27;1777225;251977;-47;6226;13;;;
Norte;AC;;12;;;;2021-07-01;26;881935;85736;180;1741;3;;;
Norte;AC;;12;;;;2021-07-02;26;881935;85797;61;1742;1;;;
Norte;AC;;12;;;;2021-07-03;26;881935;85871;74;1746;4;;;
Norte;AC;;12;;;;2021-07-04;27;881935;85897;26;1752;6;;;
Norte;AC;;12;;;;2021-07-05;27;881935;85983;86;1757;5;;;
Norte;AC;;12;;;;2021-07-06;27;881935;85997;14;1760;3;;;
Norte;AM;;13;;;;2021-07-01;26;4144597;402754;665;13320;7;;;
Norte;AM;;13;;;;2021-07-02;26;4144597;403329;575;13330;10;;;
Norte;AM;;13;;;;2021-07-03;26;4144597;403821;492;13337;7;;;
Norte;AM;;13;;;;2021-07-04;27;4144597;404045;224;13342;5;;;
Norte;AM;;13;;;;2021-07-05;27;4144597;404347;302;13349;7;;;
Norte;AM;;13;;;;2021-07-06;27;4144597;405066;719;13349;0;;;
Norte;RR;;14;;;;2021-07-01;26;605761;112643;510;1747;2;;;
Norte;RR;;14;;;;2021-07-02;26;605761;112927;284;1750;3;;;
Norte;RR;;14;;;;2021-07-03;26;605761;113277;350;1756;6;;;
Norte;RR;;14;;;;2021-07-04;27;605761;113499;222;1756;0;;;
Norte;RR;;14;;;;2021-07-05;27;605761;113568;69;1756;0;;;
Norte;RR;;14;;;;2021-07-06;27;605761;113758;190;1763;7;;;
Norte;PA;;15;;;;2021-07-01;26;8602865;554681;1744;15491;22;;;
Norte;PA;;15;;;;2021-07-02;26;8602865;555831;1150;15541;50;;;
Norte;PA;;15;;;;2021-07-03;26;8602865;556637;806;15576;35;;;
Norte;PA;;15;;;;2021-07-04;27;8602865;556667;30;15579;3;;;
Norte;PA;;15;;;;2021-07-05;27;8602865;556694;27;15587;8;;;
Norte;PA;;15;;;;2021-07-06;27;8602865;557708;1014;15624;37;;;
Norte;AP;;16;;;;2021-07-01;26;845731;117337;149;1838;3;;;
Norte;AP;;16;;;;2021-07-02;26;845731;117515;178;1842;4;;;
Norte;AP;;16;;;;2021-07-03;26;845731;117635;120;1844;2;;;
Norte;AP;;16;;;;2021-07-04;27;845731;117790;155;1845;1;;;
Norte;AP;;16;;;;2021-07-05;27;845731;117927;137;1852;7;;;
Norte;AP;;16;;;;2021-07-06;27;845731;118066;139;1857;5;;;
Norte;TO;;17;;;;2021-07-01;26;1572866;198150;514;3227;14;;;
Norte;TO;;17;;;;2021-07-02;26;1572866;198803;653;3237;10;;;
Norte;TO;;17;;;;2021-07-03;26;1572866;199222;419;3248;11;;;
Norte;TO;;17;;;;2021-07-04;27;1572866;199455;233;3256;8;;;
Norte;TO;;17;;;;2021-07-05;27;1572866;199650;195;3262;6;;;
Norte;TO;;17;;;;2021-07-06;27;1572866;200243;593;3266;4;;;
Nordeste;MA;;21;;;;2021-07-01;26;7075181;318394;948;9065;22;;;
Nordeste;MA;;21;;;;2021-07-02;26;7075181;319606;1212;9098;33;;;
Nordeste;MA;;21;;;;2021-07-03;26;7075181;320177;571;9127;29;;;
Nordeste;MA;;21;;;;2021-07-04;27;7075181;320387;210;9147;20;;;
Nordeste;MA;;21;;;;2021-07-05;27;7075181;320832;445;9164;17;;;
Nordeste;MA;;21;;;;2021-07-06;27;7075181;322052;1220;9190;26;;;
Nordeste;PI;;22;;;;2021-07-01;26;3273227;296389;608;6624;27;;;
Nordeste;PI;;22;;;;2021-07-02;26;3273227;297274;885;6632;8;;;
Nordeste;PI;;22;;;;2021-07-03;26;3273227;298129;855;6639;7;;;
Nordeste;PI;;22;;;;2021-07-04;27;3273227;298400;271;6648;9;;;
Nordeste;PI;;22;;;;2021-07-05;27;3273227;298645;245;6657;9;;;
Nordeste;PI;;22;;;;2021-07-06;27;3273227;299084;439;6662;5;;;
Nordeste;CE;;23;;;;2021-07-01;26;9132078;887774;1794;22627;56;;;
